Visitor/Neutral,PTS,Win,Home/Neutral,PTS.1,Win.1,Visitor Seed,Home Seed,Year,Visitor_id,Visitor win_pct,Visitor off_rtg,Visitor def_rtg,Visitor net_rtg,Visitor pace,Visitor efg_pct,Visitor ts_pct,Visitor tov_pct,Visitor orb_pct,Visitor drb_pct,Home_id,Home win_pct,Home off_rtg,Home def_rtg,Home net_rtg,Home pace,Home efg_pct,Home ts_pct,Home tov_pct,Home orb_pct,Home drb_pct
New Jersey Nets,85,1,Indiana Pacers,84,0,1,8,2002,1610612751,0.634,102.4,98.1,4.3,93.2,0.476,0.515,0.154,0.322,0.683,1610612754,0.512,102.8,102.4,0.4,93.13,0.477,0.527,0.162,0.302,0.686
Charlotte Hornets,110,1,Orlando Magic,100,0,4,5,2002,1610612766,0.537,102.9,101.8,1.2,90.93,0.466,0.513,0.154,0.333,0.689,1610612753,0.537,105.6,104.1,1.5,94.4,0.493,0.533,0.143,0.292,0.665
Sacramento Kings,90,1,Utah Jazz,87,0,1,8,2002,1610612758,0.744,107.9,99.7,8.1,96.74,0.497,0.539,0.142,0.306,0.69,1610612762,0.537,103.8,102.9,0.9,91.75,0.472,0.529,0.178,0.362,0.683
San Antonio Spurs,102,1,Seattle SuperSonics,75,0,2,7,2002,1610612759,0.707,105.4,98.5,6.9,91.06,0.492,0.539,0.157,0.301,0.685,1610612760,0.549,107.3,104.1,3.3,90.35,0.505,0.54,0.151,0.32,0.656
Detroit Pistons,84,0,Toronto Raptors,94,1,2,7,2002,1610612765,0.61,103.2,100.9,2.3,91.38,0.497,0.54,0.159,0.277,0.676,1610612761,0.512,101.1,101.7,-0.6,90.02,0.463,0.501,0.158,0.343,0.671
Boston Celtics,103,0,Philadelphia 76ers,108,1,3,6,2002,1610612738,0.598,102.1,99.9,2.2,93.6,0.476,0.52,0.144,0.272,0.695,1610612755,0.524,100.5,98.7,1.8,90.32,0.452,0.507,0.169,0.341,0.702
Dallas Mavericks,115,1,Minnesota Timberwolves,102,0,4,5,2002,1610612742,0.695,110.3,106,4.3,94.36,0.507,0.553,0.127,0.285,0.683,1610612750,0.61,107.5,104.1,3.4,91.72,0.49,0.532,0.145,0.343,0.703
Los Angeles Lakers,92,1,Portland Trail Blazers,91,0,3,6,2002,1610612747,0.707,108,100.4,7.6,93.32,0.498,0.534,0.135,0.311,0.686,1610612757,0.598,105.9,102.6,3.3,90.55,0.485,0.528,0.157,0.345,0.703
Detroit Pistons,83,0,Toronto Raptors,89,1,2,7,2002,1610612765,0.61,103.2,100.9,2.3,91.38,0.497,0.54,0.159,0.277,0.676,1610612761,0.512,101.1,101.7,-0.6,90.02,0.463,0.501,0.158,0.343,0.671
Sacramento Kings,91,1,Utah Jazz,86,0,1,8,2002,1610612758,0.744,107.9,99.7,8.1,96.74,0.497,0.539,0.142,0.306,0.69,1610612762,0.537,103.8,102.9,0.9,91.75,0.472,0.529,0.178,0.362,0.683
Charlotte Hornets,102,1,Orlando Magic,85,0,4,5,2002,1610612766,0.537,102.9,101.8,1.2,90.93,0.466,0.513,0.154,0.333,0.689,1610612753,0.537,105.6,104.1,1.5,94.4,0.493,0.533,0.143,0.292,0.665
